Taxon,Category,Associated crop type general,Associated crop type specific,Genus,Associated crop,SRSex,GRSex,ERSex,FCSex,FCSex priority category,SRSin,GRSin,ERSin,FCSin,FCSin priority category,FCSex value,FCSin value,FCSc_min,FCSc_max,FCSc mean,FCSc_min priority category,FCSc_max priority category,FCSc mean priority category,EOO status,AOO status,Combined threat assessment status,file_path
Fragaria virginiana subsp. platypetala,1A,Food,Fruits,Fragaria,Strawberry,6.286836935,23.21255592,57.89473684,29.13137657,HP,14.55696203,13.57881928,94.73684211,40.95754114,HP,29.13137657,40.95754114,29.13137657,40.95754114,35.04445885,HP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Fragaria/Fragaria virginiana subsp. platypetala_Run20200203_2020-08-17.html
Fragaria virginiana subsp. virginiana,1A,Food,Fruits,Fragaria,Strawberry,73.03664921,21.43952353,77.77777778,57.41798351,MP,4.373177843,3.269705764,100.0,35.8809612,HP,57.41798351,35.8809612,35.8809612,57.41798351,46.64947235,HP,MP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Fragaria/Fragaria virginiana subsp. virginiana_Run20200203_2020-08-17.html
Fragaria x ananassa,1A,Food,Fruits,Fragaria,Strawberry,100.0,0.183656408,5.8823529410000015,35.35533645,HP,0.0,5.672806465,97.05882353,34.24387666,HP,35.35533645,34.24387666,34.24387666,35.35533645,34.79960656,HP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Fragaria/Fragaria x ananassa_Run20200203_2020-08-18.html
Fragaria x ananassa nothosubsp. cuneifolia,1A,Food,Fruits,Fragaria,Strawberry,100.0,34.37703856,100.0,78.12567952,LP,0.0,7.41311671,85.71428571,31.04246747,HP,78.12567952,31.04246747,31.04246747,78.12567952,54.5840735,HP,LP,MP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Fragaria/Fragaria x ananassa nothosubsp. cuneifolia_Run20200203_2020-08-17.html
Fragaria x bringhurstii,1A,Food,Fruits,Fragaria,Strawberry,100.0,0.0,0.0,33.33333333,HP,0.0,,,0.0,UP,33.33333333,0.0,0.0,33.33333333,16.66666667,UP,HP,UP,Critically Endangered (CR),Critically Endangered (CR),Critically Endangered (CR),./compiledSummaryDocs/Fragaria/Fragaria x bringhurstii_Run20200203_2020-08-17.html
Gossypium hirsutum,1A,Material and industrial,Fibers,Gossypium,Cotton (upland),100.0,3.316190709,18.75,40.68873024,HP,0.327510917,13.99665856,75.0,29.77472316,HP,40.68873024,29.77472316,29.77472316,40.68873024,35.2317267,HP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Gossypium/Gossypium hirsutum_Run20200203_2020-08-17.html
Gossypium thurberi,1B,Material and industrial,Fibers,Gossypium,Cotton (upland),11.4490161,15.28958472,50.0,25.57953361,HP,17.69911504,10.36176267,75.0,34.3536259,HP,25.57953361,34.3536259,25.57953361,34.3536259,29.96657975,HP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Gossypium/Gossypium thurberi_Run20200203_2020-08-17.html
Gossypium tomentosum,1A,Material and industrial,Fibers,Gossypium,Cotton (upland),22.68041237,0.0,0.0,7.560137457000001,UP,0.0,0.0,0.0,0.0,UP,7.560137457000001,0.0,0.0,7.560137457000001,3.780068729,UP,UP,UP,Endangered (EN),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Gossypium/Gossypium tomentosum_Run20200203_2020-08-17.html
Helianthus agrestis,1B,Food,Oils,Helianthus,Sunflower,13.92405063,57.61734689,66.66666667,46.06935473,HP,0.0,9.058651688,66.66666667,25.24177278,HP,46.06935473,25.24177278,25.24177278,46.06935473,35.65556376,HP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus agrestis_Run20200203_2020-08-17.html
Helianthus angustifolius,1B,Food,Oils,Helianthus,Sunflower,1.740331492,17.92851519,68.42105263,29.36329977,HP,6.939501779,5.019475707,94.73684211,35.5652732,HP,29.36329977,35.5652732,29.36329977,35.5652732,32.46428648,HP,HP,HP,Least Concern (LC),Possible Near Threatened (NT),Possible Near Threatened (NT),./compiledSummaryDocs/Helianthus/Helianthus angustifolius_Run20200203_2020-08-17.html
Helianthus annuus,1A,Food,Oils,Helianthus,Sunflower,60.98130841,50.54760453,86.66666667,66.0651932,MP,5.888650964,8.101368981,88.88888889,34.29296961,HP,66.0651932,34.29296961,34.29296961,66.0651932,50.17908141,HP,MP,MP,Least Concern (LC),Least Concern (LC),Least Concern (LC),./compiledSummaryDocs/Helianthus/Helianthus annuus_Run20200203_2020-08-17.html
Helianthus anomalus,1A,Food,Oils,Helianthus,Sunflower,9.090909091,34.78721836,50.0,31.29270915,HP,2.542372881,12.76317113,83.33333333,32.87962578,HP,31.29270915,32.87962578,31.29270915,32.87962578,32.08616747,HP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus anomalus_Run20200203_2020-08-17.html
Helianthus argophyllus,1A,Food,Oils,Helianthus,Sunflower,56.43564356,90.28792419,100.0,82.24118925,LP,3.846153846,8.552533454,75.0,29.13289577,HP,82.24118925,29.13289577,29.13289577,82.24118925,55.68704251,HP,LP,MP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus argophyllus_Run20200203_2020-08-17.html
Helianthus arizonensis,1B,Food,Oils,Helianthus,Sunflower,7.894736842,4.828660436,66.66666667,26.46335465,HP,0.0,3.874709647,66.66666667,23.5137921,UP,26.46335465,23.5137921,23.5137921,26.46335465,24.98857338,UP,HP,UP,Vulnerable (VU),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus arizonensis_Run20200203_2020-08-17.html
Helianthus atrorubens,1B,Food,Oils,Helianthus,Sunflower,1.412133891,13.58343686,66.66666667,27.22074581,HP,6.912442396,4.210581652,100.0,37.04100802,HP,27.22074581,37.04100802,27.22074581,37.04100802,32.13087691,HP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus atrorubens_Run20200203_2020-08-17.html
Helianthus bolanderi,1A,Food,Oils,Helianthus,Sunflower,4.886561955,29.27014944,80.0,38.05223713,HP,6.849315067999999,6.866297753,90.0,34.57187094,HP,38.05223713,34.57187094,34.57187094,38.05223713,36.31205404,HP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus bolanderi_Run20200203_2020-08-17.html
Helianthus californicus,1B,Food,Oils,Helianthus,Sunflower,6.766917293,38.86463201,75.0,40.21051643,HP,18.1372549,13.06561562,100.0,43.73429017,HP,40.21051643,43.73429017,40.21051643,43.73429017,41.9724033,HP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus californicus_Run20200203_2020-08-17.html
Helianthus carnosus,1B,Food,Oils,Helianthus,Sunflower,17.39130435,100.0,100.0,72.46376812,MP,0.0,2.8255738860000004,100.0,34.2751913,HP,72.46376812,34.2751913,34.2751913,72.46376812,53.36947971,HP,MP,MP,Endangered (EN),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus carnosus_Run20200203_2020-08-17.html
Helianthus ciliaris,1B,Food,Oils,Helianthus,Sunflower,3.77562028,27.67765522,60.0,30.48442517,HP,3.201970443,3.4093062460000003,70.0,25.53709223,HP,30.48442517,25.53709223,25.53709223,30.48442517,28.0107587,HP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus ciliaris_Run20200203_2020-08-17.html
Helianthus cusickii,1B,Food,Oils,Helianthus,Sunflower,4.938271605,36.73518794,50.0,30.55781985,HP,16.77852349,10.5342794,90.0,39.10426763,HP,30.55781985,39.10426763,30.55781985,39.10426763,34.83104374,HP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus cusickii_Run20200203_2020-08-17.html
Helianthus debilis,1A,Food,Oils,Helianthus,Sunflower,4.237288136,0.0,0.0,1.412429379,UP,5.494505495,6.352401266,100.0,37.28230225,HP,1.412429379,37.28230225,1.412429379,37.28230225,19.34736582,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus debilis_Run20200203_2020-08-18.html
Helianthus debilis subsp. cucumerifolius,1A,Food,Oils,Helianthus,Sunflower,5.035971223,17.66145218,83.33333333,35.34358558,HP,1.818181818,0.974674129,83.33333333,28.70872976,HP,35.34358558,28.70872976,28.70872976,35.34358558,32.02615767,HP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus debilis subsp. cucumerifolius_Run20200203_2020-08-17.html
Helianthus debilis subsp. debilis,1A,Food,Oils,Helianthus,Sunflower,9.655172413999999,68.3955437,100.0,59.3502387,MP,7.692307692000001,10.45963465,100.0,39.38398078,HP,59.3502387,39.38398078,39.38398078,59.3502387,49.36710974,HP,MP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus debilis subsp. debilis_Run20200203_2020-08-17.html
Helianthus debilis subsp. silvestris,1A,Food,Oils,Helianthus,Sunflower,25.47169811,34.0499245,100.0,53.17387420000001,MP,0.0,0.449900221,50.0,16.81663341,UP,53.17387420000001,16.81663341,16.81663341,53.17387420000001,34.99525381,UP,MP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus debilis subsp. silvestris_Run20200203_2020-08-17.html
Helianthus debilis subsp. tardiflorus,1A,Food,Oils,Helianthus,Sunflower,44.11764706,29.86893526,100.0,57.99552744,MP,0.0,13.72268989,100.0,37.9075633,HP,57.99552744,37.9075633,37.9075633,57.99552744,47.95154537,HP,MP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus debilis subsp. tardiflorus_Run20200203_2020-08-17.html
Helianthus debilis subsp. vestitus,1A,Food,Oils,Helianthus,Sunflower,12.5,34.93098335,50.0,32.47699445,HP,0.0,5.300148219,50.0,18.43338274,UP,32.47699445,18.43338274,18.43338274,32.47699445,25.455188600000003,UP,HP,HP,Endangered (EN),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus debilis subsp. vestitus_Run20200203_2020-08-17.html
Helianthus decapetalus,1B,Food,Oils,Helianthus,Sunflower,1.676829268,17.60112458,64.70588235,27.99461207,HP,5.7488653560000005,4.2374006930000006,100.0,36.66208868,HP,27.99461207,36.66208868,27.99461207,36.66208868,32.32835037,HP,HP,HP,Least Concern (LC),Possible Near Threatened (NT),Possible Near Threatened (NT),./compiledSummaryDocs/Helianthus/Helianthus decapetalus_Run20200203_2020-08-17.html
Helianthus deserticola,1A,Food,Oils,Helianthus,Sunflower,22.88135593,65.79082702,100.0,62.89072765,MP,10.52631579,20.17074145,100.0,43.56568574,HP,62.89072765,43.56568574,43.56568574,62.89072765,53.2282067,HP,MP,MP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus deserticola_Run20200203_2020-08-17.html
Helianthus divaricatus,1B,Food,Oils,Helianthus,Sunflower,1.631701632,9.626330461,62.5,24.5860107,UP,5.718085106,3.653336271,91.66666667,33.67936268,HP,24.5860107,33.67936268,24.5860107,33.67936268,29.13268669,UP,HP,HP,Least Concern (LC),Possible Near Threatened (NT),Possible Near Threatened (NT),./compiledSummaryDocs/Helianthus/Helianthus divaricatus_Run20200203_2020-08-17.html
Helianthus eggertii,1B,Food,Oils,Helianthus,Sunflower,13.06990881,76.57856094,100.0,63.21615658,MP,4.0,1.84398161,100.0,35.28132720000001,HP,63.21615658,35.28132720000001,35.28132720000001,63.21615658,49.24874189,HP,MP,HP,Possible Near Threatened (NT),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus eggertii_Run20200203_2020-08-17.html
Helianthus exilis,1A,Food,Oils,Helianthus,Sunflower,34.782608700000004,77.32007576,83.33333333,65.14533926,MP,6.329113924,6.550053861,100.0,37.62638926,HP,65.14533926,37.62638926,37.62638926,65.14533926,51.38586426,HP,MP,MP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus exilis_Run20200203_2020-08-17.html
Helianthus floridanus,1B,Food,Oils,Helianthus,Sunflower,3.03030303,42.713259,100.0,48.58118734,HP,5.0,6.936722422000001,100.0,37.31224081,HP,48.58118734,37.31224081,37.31224081,48.58118734,42.94671408,HP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus floridanus_Run20200203_2020-08-17.html
Helianthus giganteus,1B,Food,Oils,Helianthus,Sunflower,2.222222222,8.915980692,81.25,30.79606764,HP,5.952380952,3.591489236,100.0,36.5146234,HP,30.79606764,36.5146234,30.79606764,36.5146234,33.65534552,HP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus giganteus_Run20200203_2020-08-17.html
Helianthus glaucophyllus,1B,Food,Oils,Helianthus,Sunflower,8.759124088,60.51049777,100.0,56.42320729,MP,19.23076923,18.77925078,100.0,46.00334,HP,56.42320729,46.00334,46.00334,56.42320729,51.21327364,HP,MP,MP,Vulnerable (VU),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus glaucophyllus_Run20200203_2020-08-17.html
Helianthus gracilentus,1B,Food,Oils,Helianthus,Sunflower,1.717791411,56.92605747,80.0,46.2146163,HP,12.27876106,15.25969138,80.0,35.84615082,HP,46.2146163,35.84615082,35.84615082,46.2146163,41.03038356,HP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus gracilentus_Run20200203_2020-08-17.html
Helianthus grosseserratus,1B,Food,Oils,Helianthus,Sunflower,3.093764874,16.59804194,70.0,29.89726894,HP,2.591792657,2.511997852,90.0,31.7012635,HP,29.89726894,31.7012635,29.89726894,31.7012635,30.79926622,HP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus grosseserratus_Run20200203_2020-08-17.html
Helianthus heterophyllus,1B,Food,Oils,Helianthus,Sunflower,2.929936306,60.07691689,60.0,41.0022844,HP,14.58333333,6.413359022000001,60.0,26.99889745,HP,41.0022844,26.99889745,26.99889745,41.0022844,34.00059093,HP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus heterophyllus_Run20200203_2020-08-17.html
Helianthus hirsutus,1B,Food,Oils,Helianthus,Sunflower,0.984651028,3.529339013,22.22222222,8.912070754,UP,5.38573508,3.415649865,88.88888889,32.56342461,HP,8.912070754,32.56342461,8.912070754,32.56342461,20.73774768,UP,HP,UP,Least Concern (LC),Possible Near Threatened (NT),Possible Near Threatened (NT),./compiledSummaryDocs/Helianthus/Helianthus hirsutus_Run20200203_2020-08-17.html
Helianthus laciniatus,1B,Food,Oils,Helianthus,Sunflower,4.761904762,15.71508721,28.57142857,16.34947351,UP,0.0,3.693509059,100.0,34.56450302,HP,16.34947351,34.56450302,16.34947351,34.56450302,25.45698827,UP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus laciniatus_Run20200203_2020-08-17.html
Helianthus laevigatus,1B,Food,Oils,Helianthus,Sunflower,4.166666667,16.79634137,60.0,26.98766934,HP,9.803921569,4.6552816230000005,100.0,38.15306773,HP,26.98766934,38.15306773,26.98766934,38.15306773,32.57036854,HP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus laevigatus_Run20200203_2020-08-17.html
Helianthus longifolius,1B,Food,Oils,Helianthus,Sunflower,4.166666667,65.2536408,100.0,56.47343582,MP,0.0,3.408506837,66.66666667,23.35839117,UP,56.47343582,23.35839117,23.35839117,56.47343582,39.91591349,UP,MP,HP,Possible Near Threatened (NT),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus longifolius_Run20200203_2020-08-17.html
Helianthus maximiliani,1B,Food,Oils,Helianthus,Sunflower,6.744186047,11.88395901,46.42857143,21.68557216,UP,3.58490566,2.133838253,92.85714286,32.85862892,HP,21.68557216,32.85862892,21.68557216,32.85862892,27.27210054,UP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus maximiliani_Run20200203_2020-08-17.html
Helianthus microcephalus,1B,Food,Oils,Helianthus,Sunflower,0.950871632,5.597532784,46.66666667,17.73835703,UP,8.009153318,3.846241368,100.0,37.28513156,HP,17.73835703,37.28513156,17.73835703,37.28513156,27.51174429,UP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus microcephalus_Run20200203_2020-08-17.html
Helianthus mollis,1B,Food,Oils,Helianthus,Sunflower,3.820895522,11.74565535,50.0,21.85551696,UP,4.47284345,3.3734216710000005,83.33333333,30.39319948,HP,21.85551696,30.39319948,21.85551696,30.39319948,26.12435822,UP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus mollis_Run20200203_2020-08-17.html
Helianthus neglectus,1A,Food,Oils,Helianthus,Sunflower,100.0,61.17422181,66.66666667,75.94696283,LP,6.12244898,1.095808072,66.66666667,24.62830791,UP,75.94696283,24.62830791,24.62830791,75.94696283,50.28763537,UP,LP,MP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus neglectus_Run20200203_2020-08-17.html
Helianthus niveus,1A,Food,Oils,Helianthus,Sunflower,2.050113895,11.59114106,20.0,11.21375165,UP,28.0,40.85737995,80.0,49.61912665,HP,11.21375165,49.61912665,11.21375165,49.61912665,30.41643915,UP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus niveus_Run20200203_2020-08-18.html
Helianthus niveus subsp. canescens,1A,Food,Oils,Helianthus,Sunflower,15.95092025,28.87102961,42.85714286,29.22636424,HP,35.13513514,20.00407744,100.0,51.71307086,MP,29.22636424,51.71307086,29.22636424,51.71307086,40.46971755,HP,MP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus niveus subsp. canescens_Run20200203_2020-08-17.html
Helianthus niveus subsp. tephrodes,1A,Food,Oils,Helianthus,Sunflower,11.50442478,42.65330633,50.0,34.71924370000001,HP,9.85915493,29.25865904,100.0,46.37260465,HP,34.71924370000001,46.37260465,34.71924370000001,46.37260465,40.54592418,HP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus niveus subsp. tephrodes_Run20200203_2020-08-17.html
Helianthus nuttallii,1B,Food,Oils,Helianthus,Sunflower,1.987224982,0.7137062679999999,18.51851852,7.073149923,UP,11.38461538,9.387567716,96.2962963,39.02282647,HP,7.073149923,39.02282647,7.073149923,39.02282647,23.04798819,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus nuttallii_Run20200203_2020-08-18.html
Helianthus nuttallii subsp. nuttallii,1B,Food,Oils,Helianthus,Sunflower,7.387862797,12.39539438,57.89473684,25.89266467,HP,5.99078341,8.420867347,94.73684211,36.38283095,HP,25.89266467,36.38283095,25.89266467,36.38283095,31.13774781,HP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus nuttallii subsp. nuttallii_Run20200203_2020-08-17.html
Helianthus nuttallii subsp. parishii,1B,Food,Oils,Helianthus,Sunflower,0.0,0.0,0.0,0.0,UP,0.0,0.0,0.0,0.0,UP,0.0,0.0,0.0,0.0,0.0,UP,UP,UP,Endangered (EN),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus nuttallii subsp. parishii_Run20200203_2020-08-17.html
Helianthus nuttallii subsp. rydbergii,1B,Food,Oils,Helianthus,Sunflower,41.37931034,13.96250133,85.71428571,47.01869913,HP,0.0,3.332894963,100.0,34.44429832,HP,47.01869913,34.44429832,34.44429832,47.01869913,40.73149873,HP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus nuttallii subsp. rydbergii_Run20200203_2020-08-17.html
Helianthus occidentalis,1B,Food,Oils,Helianthus,Sunflower,2.9239766080000003,3.816337456,36.84210526,14.52747311,UP,7.534246575,2.860039528,94.73684211,35.0437094,HP,14.52747311,35.0437094,14.52747311,35.0437094,24.78559126,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus occidentalis_Run20200203_2020-08-18.html
Helianthus occidentalis subsp. occidentalis,1B,Food,Oils,Helianthus,Sunflower,0.6779661020000001,0.0,0.0,0.225988701,UP,10.86956522,1.542613286,100.0,37.47072617,HP,0.225988701,37.47072617,0.225988701,37.47072617,18.84835743,UP,HP,UP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus occidentalis subsp. occidentalis_Run20200203_2020-08-17.html
Helianthus occidentalis subsp. plantagineus,1B,Food,Oils,Helianthus,Sunflower,18.18181818,44.26539773,71.42857143,44.62526245,HP,7.692307692000001,2.578415305,85.71428571,31.9950029,HP,44.62526245,31.9950029,31.9950029,44.62526245,38.31013268,HP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus occidentalis subsp. plantagineus_Run20200203_2020-08-17.html
Helianthus paradoxus,1A,Food,Oils,Helianthus,Sunflower,15.38461538,47.8641342,60.0,41.08291653,HP,7.317073171,2.180744325,40.0,16.4992725,UP,41.08291653,16.4992725,16.4992725,41.08291653,28.79109451,UP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),
Helianthus pauciflorus,1B,Food,Oils,Helianthus,Sunflower,2.328767123,2.180197545,24.13793103,9.548965234,UP,5.607476636,3.687384365,89.65517241,32.98334447,HP,9.548965234,32.98334447,9.548965234,32.98334447,21.26615485,UP,HP,UP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus pauciflorus_Run20200203_2020-08-18.html
Helianthus pauciflorus subsp. pauciflorus,1B,Food,Oils,Helianthus,Sunflower,9.718670077,14.08232849,42.85714286,22.21938047,UP,4.054054054,1.549450751,78.57142857,28.05831113,HP,22.21938047,28.05831113,22.21938047,28.05831113,25.1388458,UP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus pauciflorus subsp. pauciflorus_Run20200203_2020-08-17.html
Helianthus pauciflorus subsp. subrhomboideus,1B,Food,Oils,Helianthus,Sunflower,5.7851239670000005,9.676312962,50.0,21.82047898,UP,4.21686747,4.2216751010000015,100.0,36.14618086,HP,21.82047898,36.14618086,21.82047898,36.14618086,28.98332992,UP,HP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus pauciflorus subsp. subrhomboideus_Run20200203_2020-08-17.html
Helianthus petiolaris,1A,Food,Oils,Helianthus,Sunflower,2.117561154,7.300023568999999,50.0,19.80586157,UP,7.574536664,5.074196719,75.0,29.21624446,HP,19.80586157,29.21624446,19.80586157,29.21624446,24.51105302,UP,HP,UP,Least Concern (LC),Possible Near Threatened (NT),Possible Near Threatened (NT),./compiledSummaryDocs/Helianthus/Helianthus petiolaris_Run20200203_2020-08-18.html
Helianthus petiolaris subsp. fallax,1A,Food,Oils,Helianthus,Sunflower,24.9070632,43.49806718,100.0,56.13504346,MP,7.035175879,9.47398143,100.0,38.83638577,HP,56.13504346,38.83638577,38.83638577,56.13504346,47.48571461,HP,MP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus petiolaris subsp. fallax_Run20200203_2020-08-17.html
Helianthus petiolaris subsp. petiolaris,1A,Food,Oils,Helianthus,Sunflower,45.22292994,29.13090575,87.5,53.95127856,MP,2.272727273,1.398934673,87.5,30.39055398,HP,53.95127856,30.39055398,30.39055398,53.95127856,42.17091627,HP,MP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus petiolaris subsp. petiolaris_Run20200203_2020-08-17.html
Helianthus porteri,1B,Food,Oils,Helianthus,Sunflower,12.32876712,84.2565407,100.0,65.52843594,MP,20.0,1.663071877,100.0,40.55435729,HP,65.52843594,40.55435729,40.55435729,65.52843594,53.04139662,HP,MP,MP,Vulnerable (VU),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus porteri_Run20200203_2020-08-17.html
Helianthus praecox,1A,Food,Oils,Helianthus,Sunflower,68.0,17.54111366,50.0,45.18037122,HP,14.28571429,28.03236554,100.0,47.43935994,HP,45.18037122,47.43935994,45.18037122,47.43935994,46.30986558,HP,HP,HP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus praecox_Run20200203_2020-08-18.html
Helianthus praecox subsp. hirtus,1A,Food,Oils,Helianthus,Sunflower,45.45454545,100.0,100.0,81.81818182,LP,0.0,0.0,0.0,0.0,UP,81.81818182,0.0,0.0,81.81818182,40.90909091,UP,LP,HP,Endangered (EN),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus praecox subsp. hirtus_Run20200203_2020-08-17.html
Helianthus praecox subsp. praecox,1A,Food,Oils,Helianthus,Sunflower,92.30769231,0.0,0.0,30.76923077,HP,0.0,,,0.0,UP,30.76923077,0.0,0.0,30.76923077,15.38461538,UP,HP,UP,Endangered (EN),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus praecox subsp. praecox_Run20200203_2020-08-17.html
Helianthus praecox subsp. runyonii,1A,Food,Oils,Helianthus,Sunflower,44.11764706,63.82355731,100.0,69.31373479,MP,5.555555556,16.9029738,100.0,40.81950978,HP,69.31373479,40.81950978,40.81950978,69.31373479,55.06662229,HP,MP,MP,Least Concern (LC),Endangered (EN),Endangered (EN),./compiledSummaryDocs/Helianthus/Helianthus praecox subsp. runyonii_Run20200203_2020-08-17.html
Helianthus pumilus,1B,Food,Oils,Helianthus,Sunflower,9.388335704,83.21679974,100.0,64.20171181,MP,11.23348018,5.329561715,100.0,38.8543473,HP,64.20171181,38.8543473,38.8543473,64.20171181,51.52802956,HP,MP,MP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus pumilus_Run20200203_2020-08-17.html
Helianthus radula,1B,Food,Oils,Helianthus,Sunflower,8.035714286000001,66.36771531,80.0,51.46780986,MP,6.832298137,5.721071743,100.0,37.51778996,HP,51.46780986,37.51778996,37.51778996,51.46780986,44.49279991,HP,MP,HP,Least Concern (LC),Vulnerable (VU),Vulnerable (VU),./compiledSummaryDocs/Helianthus/Helianthus radula_Run20200203_2020-08-17.html
